warm0
Epoch: [0][840/1562]	Time: 0.349 (0.342)	Epoch time [hr]: 0.080 (0.149)	Memory: 3.511 (4.358)	Loss: 1.9362 (2.0259)	Prec@1: 25.000 (25.145)	Prec@5: 71.875 (75.282)	Running Time: 296.409
Epoch: [0][850/1562]	Time: 0.341 (0.342)	Epoch time [hr]: 0.081 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7489 (2.0235)	Prec@1: 46.875 (25.268)	Prec@5: 90.625 (75.415)	Running Time: 299.858
Epoch: [0][860/1562]	Time: 0.352 (0.343)	Epoch time [hr]: 0.082 (0.149)	Memory: 3.511 (4.358)	Loss: 1.8059 (2.0207)	Prec@1: 28.125 (25.352)	Prec@5: 87.500 (75.530)	Running Time: 303.334
Epoch: [0][870/1562]	Time: 0.332 (0.343)	Epoch time [hr]: 0.083 (0.149)	Memory: 3.511 (4.358)	Loss: 2.0218 (2.0177)	Prec@1: 40.625 (25.448)	Prec@5: 71.875 (75.628)	Running Time: 306.786
Epoch: [0][880/1562]	Time: 0.336 (0.343)	Epoch time [hr]: 0.084 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7511 (2.0148)	Prec@1: 40.625 (25.539)	Prec@5: 84.375 (75.741)	Running Time: 310.200
Epoch: [0][890/1562]	Time: 0.349 (0.343)	Epoch time [hr]: 0.085 (0.149)	Memory: 3.511 (4.358)	Loss: 1.8959 (2.0118)	Prec@1: 28.125 (25.624)	Prec@5: 87.500 (75.877)	Running Time: 313.622
Epoch: [0][900/1562]	Time: 0.340 (0.343)	Epoch time [hr]: 0.086 (0.149)	Memory: 3.511 (4.358)	Loss: 1.2661 (2.0089)	Prec@1: 65.625 (25.773)	Prec@5: 96.875 (75.995)	Running Time: 317.071
Epoch: [0][910/1562]	Time: 0.339 (0.343)	Epoch time [hr]: 0.087 (0.149)	Memory: 3.511 (4.358)	Loss: 1.5106 (2.0064)	Prec@1: 37.500 (25.895)	Prec@5: 93.750 (76.094)	Running Time: 320.515
Epoch: [0][920/1562]	Time: 0.339 (0.343)	Epoch time [hr]: 0.088 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7202 (2.0034)	Prec@1: 28.125 (25.991)	Prec@5: 84.375 (76.201)	Running Time: 323.935
Epoch: [0][930/1562]	Time: 0.340 (0.343)	Epoch time [hr]: 0.089 (0.149)	Memory: 3.511 (4.358)	Loss: 2.2650 (2.0013)	Prec@1: 25.000 (26.111)	Prec@5: 68.750 (76.292)	Running Time: 327.344
